iShares Russell 3000 ETF
Fund Holdings as of,"Feb 02, 2024"
Inception Date,"May 22, 2000"
Shares Outstanding,"46,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MMC","MARSH & MCLENNAN INC","Financials","Equity","25,932,283.04","0.20","25,932,283.04","134,114.00","193.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","25,637,514.88","0.20","25,637,514.88","296,456.00","86.48","United States","NASDAQ","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","25,598,667.15","0.20","25,598,667.15","60,095.00","425.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","25,531,073.10","0.20","25,531,073.10","396,630.00","64.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CI","CIGNA","Health Care","Equity","25,519,563.52","0.20","25,519,563.52","78,803.00","323.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","25,388,834.76","0.20","25,388,834.76","347,364.00","73.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","25,312,013.34","0.19","25,312,013.34","402,161.00","62.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","24,355,362.11","0.19","24,355,362.11","125,861.00","193.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BX","BLACKSTONE INC","Financials","Equity","23,929,848.64","0.18","23,929,848.64","192,424.00","124.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","23,615,065.84","0.18","23,615,065.84","124,921.00","189.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FI","FISERV INC","Financials","Equity","23,497,418.70","0.18","23,497,418.70","162,163.00","144.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","22,966,612.36","0.18","22,966,612.36","141,962.00","161.78","United States","NASDAQ","USD","1.00","USD","-"
"SNPS","SYNOPSYS INC","Information Technology","Equity","22,724,586.20","0.17","22,724,586.20","41,164.00","552.05","United States","NASDAQ","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","22,389,451.68","0.17","22,389,451.68","37,049.00","604.32","United States","NASDAQ","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","21,679,657.37","0.17","21,679,657.37","21,679,657.00","1.00","United States","-","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","21,652,598.25","0.17","21,652,598.25","73,015.00","296.55","United States","NASDAQ","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","21,282,435.04","0.16","21,282,435.04","25,232.00","843.47","United States","NASDAQ","USD","1.00","USD","-"
"ITW","ILLINOIS TOOL INC","Industrials","Equity","20,790,279.58","0.16","20,790,279.58","81,193.00","256.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","20,686,349.31","0.16","20,686,349.31","109,911.00","188.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","20,255,869.00","0.16","20,255,869.00","295,060.00","68.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
